id	image_path	family	subject	positive_relation	object	positive_statement	negative_relation	negative_statement	old_negative_statement	candidate_rank	pos_true	neg_natural	neg_plausible	neg_visually_false	needs_image	is_synonym	role_reversal	ambiguous	overall_clean	notes
relsim_24aa2633236bf35781ccf524bd3046fe	/data/lht/relsim_dataset/relsim_images/24aa2633236bf35781ccf524bd3046fe.jpg	contact	dog	wearing	hat	A dog is wearing a hat.	sniffing	A dog is sniffing a hat.	A dog is carries a hat.	2										
relsim_a1a5b3b59a92b79a8c1b5aa3a44f872f	/data/lht/relsim_dataset/relsim_images/a1a5b3b59a92b79a8c1b5aa3a44f872f.jpg	contact	man	catching	woman	A man is catching a woman.	supporting	A man is supporting a woman.	A man is taller than a woman.	0										
relsim_3573375aeba82ed79acdc2e7154103ef	/data/lht/relsim_dataset/relsim_images/3573375aeba82ed79acdc2e7154103ef.jpg	contact	soccer player	kicking	soccer ball	A soccer player is kicking a soccer ball.	chasing	A soccer player is chasing a soccer ball.	A soccer player is sitting next to a soccer ball.	0										
relsim_0abfb24c9f4e3f3d900864730d02b0d7	/data/lht/relsim_dataset/relsim_images/0abfb24c9f4e3f3d900864730d02b0d7.jpg	contact	person	performing handstand	grass	A person is performing handstand a grass.	lying on	A person is lying on a grass.	A person is setting behind a grass.	0										
relsim_c52ac20711c3cfe9a256d819c40165a0	/data/lht/relsim_dataset/relsim_images/c52ac20711c3cfe9a256d819c40165a0.jpg	contact	bride	kissing	groom	A bride is kissing a groom.	standing beside	A bride is standing beside a groom.	A bride is crouching on a groom.	2										
relsim_1b6d28c7c355eaea400c96efbb81b220	/data/lht/relsim_dataset/relsim_images/1b6d28c7c355eaea400c96efbb81b220.jpg	contact	cougar	chasing	goat	A cougar is chasing a goat.	playing with	A cougar is playing with a goat.	A cougar is radiate from a goat.	2										
relsim_236730f211a1749b59d544d13bf18ae4	/data/lht/relsim_dataset/relsim_images/236730f211a1749b59d544d13bf18ae4.jpg	contact	kitten	reaching towards	camera	A kitten is reaching towards a camera.	jumping at	A kitten is jumping at a camera.	A kitten is covering a camera.	0										
relsim_a66a7d1703d1f62d1d27e476b02c4fef	/data/lht/relsim_dataset/relsim_images/a66a7d1703d1f62d1d27e476b02c4fef.jpg	contact	santa	climbing	window	A santa is climbing a window.	cleaning	A santa is cleaning a window.	A santa is throwing a window.	2										
relsim_79217632fbcb19766b01d05c3e6b879a	/data/lht/relsim_dataset/relsim_images/79217632fbcb19766b01d05c3e6b879a.jpg	contact	cat	wearing	sunglasses	A cat is wearing a sunglasses.	holding	A cat is holding a sunglasses.	A cat is covered with a sunglasses.	0										
relsim_7613993ecc54f8a4554ee0039c3b582c	/data/lht/relsim_dataset/relsim_images/7613993ecc54f8a4554ee0039c3b582c.jpg	contact	girl	blowing	candle	A girl is blowing a candle.	looking at	A girl is looking at a candle.	A girl is orbiting a candle.	0										
relsim_d6cfb2a929fad5eecc5f6a9b41f97a2b	/data/lht/relsim_dataset/relsim_images/d6cfb2a929fad5eecc5f6a9b41f97a2b.jpg	contact	ice cube	falling into	water	An ice cube is falling into a water.	floating above	An ice cube is floating above a water.	An ice cube is exercising on a water.	0										
relsim_1d1787d82c11aca8f2b51814f6013994	/data/lht/relsim_dataset/relsim_images/1d1787d82c11aca8f2b51814f6013994.jpg	contact	person	holding	fabric	A person is holding a fabric.	cleaning	A person is cleaning a fabric.	A person is on a fabric.	0										
relsim_7d68a9a8556ed982fcee02efece69509	/data/lht/relsim_dataset/relsim_images/7d68a9a8556ed982fcee02efece69509.jpg	contact	person on the left	holding hands with	person on the right	A person on the left is holding hands with a person on the right.	looking at	A person on the left is looking at a person on the right.	A person on the left is points to a person on the right.	0										
relsim_a9bc46a9eb87c85c84bd8fad9eca44bc	/data/lht/relsim_dataset/relsim_images/a9bc46a9eb87c85c84bd8fad9eca44bc.jpg	contact	face	carved into	tree trunk	A face is carved into a tree trunk.	painted on	A face is painted on a tree trunk.	A face is driving on a tree trunk.	0										
relsim_0e9e3706918b3a764c7a4918b1ce368a	/data/lht/relsim_dataset/relsim_images/0e9e3706918b3a764c7a4918b1ce368a.jpg	contact	buildings	surrounding	sky	A buildings is surrounding a sky.	overlooking	A buildings is overlooking a sky.	A buildings is shines through a sky.	0										
relsim_2d39620813139a09ee518d45c6623ad3	/data/lht/relsim_dataset/relsim_images/2d39620813139a09ee518d45c6623ad3.jpg	contact	skateboarder	performing trick	skateboard	A skateboarder is performing trick a skateboard.	landing on	A skateboarder is landing on a skateboard.	A skateboarder is inserting a skateboard.	2										
relsim_a71f93a382c8ec32908617aad86bacab	/data/lht/relsim_dataset/relsim_images/a71f93a382c8ec32908617aad86bacab.jpg	contact	mask	covering	face	A mask is covering a face.	protecting	A mask is protecting a face.	A mask is passing by a face.	1										
relsim_cd2e0a068c98ddf7b2bbccd93ac2098d	/data/lht/relsim_dataset/relsim_images/cd2e0a068c98ddf7b2bbccd93ac2098d.jpg	contact	dog	wearing	unicorn horn	A dog is wearing an unicorn horn.	playing with	A dog is playing with an unicorn horn.	A dog is jumping to hit an unicorn horn.	2										
relsim_c4c300ff722145aa243ff03aa6dce9bf	/data/lht/relsim_dataset/relsim_images/c4c300ff722145aa243ff03aa6dce9bf.jpg	contact	trumpeter	playing	trumpet	A trumpeter is playing a trumpet.	carrying	A trumpeter is carrying a trumpet.	A trumpeter is falling towards a trumpet.	0										
relsim_396ebbb0d5883c8fa2891ee15e0fd765	/data/lht/relsim_dataset/relsim_images/396ebbb0d5883c8fa2891ee15e0fd765.jpg	contact	skateboarder	performing a trick	halfpipe	A skateboarder is performing a trick a halfpipe.	landing on	A skateboarder is landing on a halfpipe.	A skateboarder is measuring a halfpipe.	1										
relsim_9b9ac6a3d9a2c642d1f06009b7d5dbc3	/data/lht/relsim_dataset/relsim_images/9b9ac6a3d9a2c642d1f06009b7d5dbc3.jpg	contact	cat	wearing	hat	A cat is wearing a hat.	holding	A cat is holding a hat.	A cat is jumping to hit a hat.	0										
relsim_964d7a0ea874d26e6111144ae8883350	/data/lht/relsim_dataset/relsim_images/964d7a0ea874d26e6111144ae8883350.jpg	contact	hand	touching	face	A hand is touching a face.	covering	A hand is covering a face.	A hand is cast on a face.	0										
relsim_ba2a4d9021f328a2bd59129fd08352b6	/data/lht/relsim_dataset/relsim_images/ba2a4d9021f328a2bd59129fd08352b6.jpg	contact	tire	attached to	wheel	A tire is attached to a wheel.	moving with	A tire is moving with a wheel.	A tire is crouching near a wheel.	2										
relsim_418011ebe7a558f6fcd63303ae5831c5	/data/lht/relsim_dataset/relsim_images/418011ebe7a558f6fcd63303ae5831c5.jpg	contact	puzzle piece	covering	face	A puzzle piece is covering a face.	protecting	A puzzle piece is protecting a face.	A puzzle piece is sitting on a face.	2										
relsim_7796406410bf7615a93bfa8759521f17	/data/lht/relsim_dataset/relsim_images/7796406410bf7615a93bfa8759521f17.jpg	contact	person	touching	dolphin	A person is touching a dolphin.	guiding	A person is guiding a dolphin.	A person is holding hands with a dolphin.	1										
relsim_66a0e3bd27ed1d9453c3be484e61d378	/data/lht/relsim_dataset/relsim_images/66a0e3bd27ed1d9453c3be484e61d378.jpg	contact	skull mask	covering	face	A skull mask is covering a face.	protecting	A skull mask is protecting a face.	A skull mask is swimming in a face.	1										
relsim_478cde3765aacacc566cb5b9e2fd6091	/data/lht/relsim_dataset/relsim_images/478cde3765aacacc566cb5b9e2fd6091.jpg	contact	dog	wearing	life jacket	A dog is wearing a life jacket.	pushing	A dog is pushing a life jacket.	A dog is swimming towards a life jacket.	1										
relsim_079d81d9adb37b5d810b27acf70b1eeb	/data/lht/relsim_dataset/relsim_images/079d81d9adb37b5d810b27acf70b1eeb.jpg	contact	child	touching	woman	A child is touching a woman.	looking down on	A child is looking down on a woman.	A child is kicking a woman.	1										
relsim_96ffe27051d24cc20c173f1569a7152b	/data/lht/relsim_dataset/relsim_images/96ffe27051d24cc20c173f1569a7152b.jpg	contact	van	carrying	paper structure	A van is carrying a paper structure.	hiding	A van is hiding a paper structure.	A van is thinking about a paper structure.	1										
relsim_85a6773b5f1576dc6a7a19b2f526327b	/data/lht/relsim_dataset/relsim_images/85a6773b5f1576dc6a7a19b2f526327b.jpg	contact	leaves	covering	grass	A leaves is covering a grass.	on top of	A leaves is on top of a grass.	A leaves is running towards a grass.	2										
relsim_19cd80bd4f037729d07b504245a4352e	/data/lht/relsim_dataset/relsim_images/19cd80bd4f037729d07b504245a4352e.jpg	contact	Santa Claus	riding	bicycle	A Santa Claus is riding a bicycle.	carrying	A Santa Claus is carrying a bicycle.	A Santa Claus is carry a bicycle.	0										
relsim_b67d29d7194d5f1665bc926a5cea39ae	/data/lht/relsim_dataset/relsim_images/b67d29d7194d5f1665bc926a5cea39ae.jpg	contact	man	carrying	backpack	A man is carrying a backpack.	looking into	A man is looking into a backpack.	A man is floating on a backpack.	1										
relsim_5affcdd99d17be8aaf900d502fbf36f2	/data/lht/relsim_dataset/relsim_images/5affcdd99d17be8aaf900d502fbf36f2.jpg	contact	person	carrying	bag	A person is carrying a bag.	pushing	A person is pushing a bag.	A person is exhaling a bag.	0										
relsim_06960bb41c4106d36a7c4e887d527526	/data/lht/relsim_dataset/relsim_images/06960bb41c4106d36a7c4e887d527526.jpg	contact	man	holding	green balloon	A man is holding a green balloon.	pointing to	A man is pointing to a green balloon.	A man is grows from a green balloon.	1										
relsim_9bd1acc6200bf3abd12f1dbd1c1ee4d1	/data/lht/relsim_dataset/relsim_images/9bd1acc6200bf3abd12f1dbd1c1ee4d1.jpg	contact	person	holding	mask	A person is holding a mask.	looking at	A person is looking at a mask.	A person is driving on a mask.	0										
relsim_741171c6c66e4ddc8fe86722bd3dcc63	/data/lht/relsim_dataset/relsim_images/741171c6c66e4ddc8fe86722bd3dcc63.jpg	contact	person	running towards	doorway	A person is running towards a doorway.	standing in	A person is standing in a doorway.	A person is jumping towards a doorway.	0										
relsim_8c8a49c5290feb6c2c6bb0208e30cc05	/data/lht/relsim_dataset/relsim_images/8c8a49c5290feb6c2c6bb0208e30cc05.jpg	contact	moon	supporting	core	A moon is supporting a core.	enclosing	A moon is enclosing a core.	A moon is includes a core.	1										
relsim_07107ecec2750b710c9f643ee6d9c74e	/data/lht/relsim_dataset/relsim_images/07107ecec2750b710c9f643ee6d9c74e.jpg	contact	dinosaur	wearing	top hat	A dinosaur is wearing a top hat.	carrying	A dinosaur is carrying a top hat.	A dinosaur is emerge from a top hat.	0										
relsim_306cb5ef7b90ecd4ed7ca686eb14510f	/data/lht/relsim_dataset/relsim_images/306cb5ef7b90ecd4ed7ca686eb14510f.jpg	contact	dog	wearing	bear costume	A dog is wearing a bear costume.	standing in	A dog is standing in a bear costume.	A dog is leaves behind a bear costume.	0										
relsim_5387ef843e26bb01eabb625d8ee96d87	/data/lht/relsim_dataset/relsim_images/5387ef843e26bb01eabb625d8ee96d87.jpg	contact	astronaut	pushing	cart	An astronaut is pushing a cart.	looking at	An astronaut is looking at a cart.	An astronaut is silhouetted against a cart.	2										
relsim_4fcaea9e56c5126db5da7ea2922ddf94	/data/lht/relsim_dataset/relsim_images/4fcaea9e56c5126db5da7ea2922ddf94.jpg	contact	strawberries	decorating	cake	A strawberries is decorating a cake.	attached to	A strawberries is attached to a cake.	A strawberries is surrounds a cake.	0										
relsim_434c9ab92783cd1c5db9540a014e15f3	/data/lht/relsim_dataset/relsim_images/434c9ab92783cd1c5db9540a014e15f3.jpg	contact	cat	wearing	glasses	A cat is wearing a glasses.	holding	A cat is holding a glasses.	A cat is driving on a glasses.	0										
relsim_4ae13c5d86ad5beb724ebd8d89112938	/data/lht/relsim_dataset/relsim_images/4ae13c5d86ad5beb724ebd8d89112938.jpg	contact	car	driving over	buildings	A car is driving over a buildings.	beside	A car is beside a buildings.	A car is reflects in a buildings.	0										
relsim_8444898f6be40bd56587877f64eb2eb1	/data/lht/relsim_dataset/relsim_images/8444898f6be40bd56587877f64eb2eb1.jpg	contact	tomato	attached to	vine	A tomato is attached to a vine.	resting on	A tomato is resting on a vine.	A tomato is performing wheelie a vine.	0										
relsim_b8d971f2fc9a5b85d88e82934ec7b909	/data/lht/relsim_dataset/relsim_images/b8d971f2fc9a5b85d88e82934ec7b909.jpg	contact	cat	wearing	tie	A cat is wearing a tie.	standing on	A cat is standing on a tie.	A cat is pouring a tie.	0										
relsim_9c0d4c65c0a8c5fa8e81ba73ecb5f740	/data/lht/relsim_dataset/relsim_images/9c0d4c65c0a8c5fa8e81ba73ecb5f740.jpg	contact	hands	holding	bread	A hands is holding a bread.	crushing	A hands is crushing a bread.	A hands is sitting in front of a bread.	0										
relsim_5b1b23454b0f1a9a67cdd61b289a4bb5	/data/lht/relsim_dataset/relsim_images/5b1b23454b0f1a9a67cdd61b289a4bb5.jpg	contact	antennae	attached to	head	An antennae is attached to a head.	resting on	An antennae is resting on a head.	An antennae is flying in formation a head.	1										
relsim_3b91d67247e16cc74ba2f98ff4a81da5	/data/lht/relsim_dataset/relsim_images/3b91d67247e16cc74ba2f98ff4a81da5.jpg	contact	cheetah	chasing	antelope	A cheetah is chasing an antelope.	crouching near	A cheetah is crouching near an antelope.	A cheetah is forms an antelope.	1										
relsim_75ce37b1a3f0cf8e0391394f1d393017	/data/lht/relsim_dataset/relsim_images/75ce37b1a3f0cf8e0391394f1d393017.jpg	contact	robot	climbing	stairs	A robot is climbing a stairs.	standing beside	A robot is standing beside a stairs.	A robot is silhouetted against a stairs.	1										
relsim_9e155a67f548c813f5c6993f7f16600e	/data/lht/relsim_dataset/relsim_images/9e155a67f548c813f5c6993f7f16600e.jpg	contact	leopard face	wearing	glasses	A leopard face is wearing a glasses.	beside	A leopard face is beside a glasses.	A leopard face is standing behind a glasses.	1										
relsim_41c05d8c4113b41c7f8e47bbaf97a422	/data/lht/relsim_dataset/relsim_images/41c05d8c4113b41c7f8e47bbaf97a422.jpg	contact	diver	photographing	school of fish	A diver is photographing a school of fish.	guiding	A diver is guiding a school of fish.	A diver is walking with a school of fish.	2										
relsim_027c200d730e2f68ca94605cc5bfdc87	/data/lht/relsim_dataset/relsim_images/027c200d730e2f68ca94605cc5bfdc87.jpg	contact	skateboarder	performing	trick	A skateboarder is performing a trick.	landing on	A skateboarder is landing on a trick.	A skateboarder is next to a trick.	1										
relsim_7d375a0a688f9cef71da355b0655fe75	/data/lht/relsim_dataset/relsim_images/7d375a0a688f9cef71da355b0655fe75.jpg	contact	whale	carrying	raft	A whale is carrying a raft.	guiding	A whale is guiding a raft.	A whale is decorated with a raft.	1										
relsim_b3071222e6cab2eab92d3094d651b472	/data/lht/relsim_dataset/relsim_images/b3071222e6cab2eab92d3094d651b472.jpg	contact	child with horns	holding	stick	A child with horns is holding a stick.	carrying	A child with horns is carrying a stick.	A child with horns is sitting at a stick.	0										
relsim_cc5178afeb73548faf605db9981f6dd0	/data/lht/relsim_dataset/relsim_images/cc5178afeb73548faf605db9981f6dd0.jpg	contact	horse head	wearing	hat	A horse head is wearing a hat.	carrying	A horse head is carrying a hat.	A horse head is extend into a hat.	0										
relsim_8d04c5159f1568f052e24e2889ba98a3	/data/lht/relsim_dataset/relsim_images/8d04c5159f1568f052e24e2889ba98a3.jpg	contact	alien	reaching for	chess piece	An alien is reaching for a chess piece.	grabbing	An alien is grabbing a chess piece.	An alien is features a chess piece.	0										
relsim_232b5025abcbf675863658b7e6a1814e	/data/lht/relsim_dataset/relsim_images/232b5025abcbf675863658b7e6a1814e.jpg	contact	man	jumping from	wall	A man is jumping from a wall.	leaning against	A man is leaning against a wall.	A man is igniting a wall.	0										
relsim_b8292da65464e4f286bd1423da8ac93b	/data/lht/relsim_dataset/relsim_images/b8292da65464e4f286bd1423da8ac93b.jpg	contact	child	riding	dog	A child is riding a dog.	leading	A child is leading a dog.	A child is worn by a dog.	1										
relsim_d4f8e3cd5791cb7c18699fe14914dbe1	/data/lht/relsim_dataset/relsim_images/d4f8e3cd5791cb7c18699fe14914dbe1.jpg	contact	person	riding	scooter	A person is riding a scooter.	pushing	A person is pushing a scooter.	A person is missing from a scooter.	0										
relsim_0d0f0058cd23b147c85ecf6a13237c7b	/data/lht/relsim_dataset/relsim_images/0d0f0058cd23b147c85ecf6a13237c7b.jpg	contact	matchstick	igniting	candle	A matchstick is igniting a candle.	touching	A matchstick is touching a candle.	A matchstick is collides with a candle.	0										
relsim_89de750a9b1f90ecf24473ed35df5e9c	/data/lht/relsim_dataset/relsim_images/89de750a9b1f90ecf24473ed35df5e9c.jpg	contact	elephant	riding	bicycle	An elephant is riding a bicycle.	pushing	An elephant is pushing a bicycle.	An elephant is carving a bicycle.	0										
relsim_1518dff19f0dc1a7af2f04b9332e241e	/data/lht/relsim_dataset/relsim_images/1518dff19f0dc1a7af2f04b9332e241e.jpg	contact	seashells	surrounding	stones	A seashells is surrounding a stones.	attached to	A seashells is attached to a stones.	A seashells is jumping to hit a stones.	0										
relsim_3ec76b668da0d9e478d5224756e4d163	/data/lht/relsim_dataset/relsim_images/3ec76b668da0d9e478d5224756e4d163.jpg	contact	cow	wearing	crown	A cow is wearing a crown.	carrying	A cow is carrying a crown.	A cow is carries a crown.	1										
relsim_cc15484be0d93361784c0a69ec8395d0	/data/lht/relsim_dataset/relsim_images/cc15484be0d93361784c0a69ec8395d0.jpg	contact	doctor	holding	stethoscope	A doctor is holding a stethoscope.	carrying	A doctor is carrying a stethoscope.	A doctor is working at a stethoscope.	0										
relsim_9b54a8ab43d826f99b6b4fc142ba6ce6	/data/lht/relsim_dataset/relsim_images/9b54a8ab43d826f99b6b4fc142ba6ce6.jpg	contact	person	carrying	reflection	A person is carrying a reflection.	looking at	A person is looking at a reflection.	A person is next to a reflection.	0										
relsim_aa5680ee61add0cc2691876a6c6f9dbb	/data/lht/relsim_dataset/relsim_images/aa5680ee61add0cc2691876a6c6f9dbb.jpg	contact	car	driving on	road	A car is driving on a road.	parked on	A car is parked on a road.	A car is hugging a road.	0										
relsim_10f4c5cb50e2d6621daac935da080cc4	/data/lht/relsim_dataset/relsim_images/10f4c5cb50e2d6621daac935da080cc4.jpg	contact	monkey	carrying	lion cub	A monkey is carrying a lion cub.	looking at	A monkey is looking at a lion cub.	A monkey is curves around a lion cub.	2										
relsim_159acd95f4f9eb54aca42ec406541cc6	/data/lht/relsim_dataset/relsim_images/159acd95f4f9eb54aca42ec406541cc6.jpg	contact	scissors	touching	flower	A scissors is touching a flower.	attached to	A scissors is attached to a flower.	A scissors is posing with a flower.	0										
relsim_9fc81f9c5c6c98dcb7559510f760ec1b	/data/lht/relsim_dataset/relsim_images/9fc81f9c5c6c98dcb7559510f760ec1b.jpg	contact	man	holding	shield	A man is holding a shield.	looking at	A man is looking at a shield.	A man is kissing a shield.	2										
relsim_4b4371b5d5585c87fa7254fe022ad4ee	/data/lht/relsim_dataset/relsim_images/4b4371b5d5585c87fa7254fe022ad4ee.jpg	contact	chicken	eating	popcorn	A chicken is eating a popcorn.	pecking at	A chicken is pecking at a popcorn.	A chicken is casting light on a popcorn.	2										
relsim_7bcfcb9f55ff56ac6ab4dc67f14075bf	/data/lht/relsim_dataset/relsim_images/7bcfcb9f55ff56ac6ab4dc67f14075bf.jpg	contact	man	drinking from	glass	A man is drinking from a glass.	leaning on	A man is leaning on a glass.	A man is listening to a glass.	2										
relsim_8294f99ca32c35a5093849c3b051904c	/data/lht/relsim_dataset/relsim_images/8294f99ca32c35a5093849c3b051904c.jpg	contact	man	pushing	rock	A man is pushing a rock.	carrying	A man is carrying a rock.	A man is lying on its back a rock.	0										
relsim_ccd4f729a05e77c881003d234470328f	/data/lht/relsim_dataset/relsim_images/ccd4f729a05e77c881003d234470328f.jpg	contact	coin	crossed by	chain	A coin is crossed by a chain.	attached to	A coin is attached to a chain.	A coin is pointing at a chain.	0										
relsim_40f6bb4a90ee4cb16a94e89c877141ae	/data/lht/relsim_dataset/relsim_images/40f6bb4a90ee4cb16a94e89c877141ae.jpg	contact	left hand	reaching towards	right hand	A left hand is reaching towards a right hand.	pushing	A left hand is pushing a right hand.	A left hand is radiate from a right hand.	1										
relsim_2bda8ff930336892dfe036269848f092	/data/lht/relsim_dataset/relsim_images/2bda8ff930336892dfe036269848f092.jpg	contact	fox	climbing	tree	A fox is climbing a tree.	resting against	A fox is resting against a tree.	A fox is feeding a tree.	1										
relsim_bf3872965afcd2a3c4a9c94bff9e9e05	/data/lht/relsim_dataset/relsim_images/bf3872965afcd2a3c4a9c94bff9e9e05.jpg	contact	rocket	launching	moon	A rocket is launching a moon.	orbiting around	A rocket is orbiting around a moon.	A rocket is reaching into a moon.	0										
relsim_b923a3a11df8a72337d90c76d691f7d2	/data/lht/relsim_dataset/relsim_images/b923a3a11df8a72337d90c76d691f7d2.jpg	contact	person	jumping from	bridge	A person is jumping from a bridge.	sitting on	A person is sitting on a bridge.	A person is handing a bridge.	1										
relsim_cea113cfc3a6725c4e43c3786cd83dd3	/data/lht/relsim_dataset/relsim_images/cea113cfc3a6725c4e43c3786cd83dd3.jpg	contact	ballet dancer	touching	yellow pole	A ballet dancer is touching a yellow pole.	looking at	A ballet dancer is looking at a yellow pole.	A ballet dancer is pouring water on a yellow pole.	1										
relsim_927fed25172ee4ad7e2cf4eb32d50291	/data/lht/relsim_dataset/relsim_images/927fed25172ee4ad7e2cf4eb32d50291.jpg	contact	silhouette	reaching for	apple	A silhouette is reaching for an apple.	looking at	A silhouette is looking at an apple.	A silhouette is shaking hands with an apple.	0										
relsim_8916e81ed2c71e6f241af8e7a20d1c48	/data/lht/relsim_dataset/relsim_images/8916e81ed2c71e6f241af8e7a20d1c48.jpg	contact	ship	carrying	containers	A ship is carrying a containers.	unloading	A ship is unloading a containers.	A ship is crouching on a containers.	1										
relsim_1fd80af02ee1fa236ee1375bdff25ca5	/data/lht/relsim_dataset/relsim_images/1fd80af02ee1fa236ee1375bdff25ca5.jpg	contact	hummingbird	approaching	hummingbird feeder	A hummingbird is approaching a hummingbird feeder.	landing on	A hummingbird is landing on a hummingbird feeder.	A hummingbird is emitting light a hummingbird feeder.	1										
relsim_1f15ea931d80c4ab714f44bb476bd1bb	/data/lht/relsim_dataset/relsim_images/1f15ea931d80c4ab714f44bb476bd1bb.jpg	contact	blue character	holding	hammer	A blue character is holding a hammer.	attached to	A blue character is attached to a hammer.	A blue character is leaves trail a hammer.	1										
relsim_5dadfe20bdcb151d592a35c7c103e2ca	/data/lht/relsim_dataset/relsim_images/5dadfe20bdcb151d592a35c7c103e2ca.jpg	contact	dog	sniffing	frog	A dog is sniffing a frog.	jumping over	A dog is jumping over a frog.	A dog is parked beside a frog.	1										
relsim_901f92f6f001b3483cc15b780a79ed7d	/data/lht/relsim_dataset/relsim_images/901f92f6f001b3483cc15b780a79ed7d.jpg	contact	bee	flying towards	flower	A bee is flying towards a flower.	landing on	A bee is landing on a flower.	A bee is crashing onto a flower.	1										
relsim_d73cbb02a3ebce3b068f2a89e12a1bf4	/data/lht/relsim_dataset/relsim_images/d73cbb02a3ebce3b068f2a89e12a1bf4.jpg	contact	astronaut	jumping from	checkerboard	An astronaut is jumping from a checkerboard.	standing on	An astronaut is standing on a checkerboard.	An astronaut is sitting near a checkerboard.	2										
relsim_0fca6bd8942dbed2432f3b396f5e4fa0	/data/lht/relsim_dataset/relsim_images/0fca6bd8942dbed2432f3b396f5e4fa0.jpg	contact	dog	wearing	hat	A dog is wearing a hat.	standing beside	A dog is standing beside a hat.	A dog is flies towards a hat.	2										
relsim_bd7ca741b957a1c6fe9e4ec237bd979d	/data/lht/relsim_dataset/relsim_images/bd7ca741b957a1c6fe9e4ec237bd979d.jpg	contact	giraffe	reaching towards	other giraffe	A giraffe is reaching towards an other giraffe.	avoiding	A giraffe is avoiding an other giraffe.	A giraffe is part of an other giraffe.	1										
relsim_0753d6d33404fab47af1ce1559546dc4	/data/lht/relsim_dataset/relsim_images/0753d6d33404fab47af1ce1559546dc4.jpg	contact	child	reaching toward	woman	A child is reaching toward a woman.	talking to	A child is talking to a woman.	A child is flying over a woman.	1										
relsim_bd6a9a6ae665ae9b6da24c4893cf83ec	/data/lht/relsim_dataset/relsim_images/bd6a9a6ae665ae9b6da24c4893cf83ec.jpg	contact	rabbit	wearing	cape	A rabbit is wearing a cape.	standing on	A rabbit is standing on a cape.	A rabbit is sleeping on a cape.	0										
relsim_8ef6b048bb2ba0d440081c91e7d5dd4c	/data/lht/relsim_dataset/relsim_images/8ef6b048bb2ba0d440081c91e7d5dd4c.jpg	contact	person	wearing	mask	A person is wearing a mask.	looking at	A person is looking at a mask.	A person is painting a mask.	1										
relsim_d5050f84b3e2068462058ce33bfb5999	/data/lht/relsim_dataset/relsim_images/d5050f84b3e2068462058ce33bfb5999.jpg	contact	woman	wearing	roses	A woman is wearing a roses.	holding	A woman is holding a roses.	A woman is flies towards a roses.	0										
relsim_4f5b9604108c9d450e9874101221e14c	/data/lht/relsim_dataset/relsim_images/4f5b9604108c9d450e9874101221e14c.jpg	contact	tree	burning	sky	A tree is burning a sky.	in front of	A tree is in front of a sky.	A tree is stacked on a sky.	0										
relsim_ac65187b4acf42c3272b78d0cfb3be43	/data/lht/relsim_dataset/relsim_images/ac65187b4acf42c3272b78d0cfb3be43.jpg	contact	human hand	touching	robotic hand	A human hand is touching a robotic hand.	beside	A human hand is beside a robotic hand.	A human hand is peering through a robotic hand.	0										
relsim_30e9d04f7cd3873b8dea177233237480	/data/lht/relsim_dataset/relsim_images/30e9d04f7cd3873b8dea177233237480.jpg	contact	wave	crashing onto	sand	A wave is crashing onto a sand.	covering	A wave is covering a sand.	A wave is radiates from a sand.	0										
relsim_018afdba7cbbc8cc54bd78d19ac1f8d5	/data/lht/relsim_dataset/relsim_images/018afdba7cbbc8cc54bd78d19ac1f8d5.jpg	contact	man	jumping into	water	A man is jumping into a water.	swimming in	A man is swimming in a water.	A man is wearing a water.	1										
relsim_572358de395451f3494cfd691e9e336b	/data/lht/relsim_dataset/relsim_images/572358de395451f3494cfd691e9e336b.jpg	contact	hand	holding	ball	A hand is holding a ball.	pushing	A hand is pushing a ball.	A hand is running through a ball.	2										
relsim_bbfa5b5edd06a190b08a9ff0f5d8c484	/data/lht/relsim_dataset/relsim_images/bbfa5b5edd06a190b08a9ff0f5d8c484.jpg	contact	man	pouring	shot glass	A man is pouring a shot glass.	examining	A man is examining a shot glass.	A man is watering a shot glass.	1										
relsim_860530663753b8ba81868836bcdea433	/data/lht/relsim_dataset/relsim_images/860530663753b8ba81868836bcdea433.jpg	contact	red dragon	facing	green dragon	A red dragon is facing a green dragon.	behind	A red dragon is behind a green dragon.	A red dragon is holds a green dragon.	1										
relsim_003bb72e0cd71486571b2a464577caca	/data/lht/relsim_dataset/relsim_images/003bb72e0cd71486571b2a464577caca.jpg	contact	spoon	touching	latte art	A spoon is touching a latte art.	beside	A spoon is beside a latte art.	A spoon is curves around a latte art.	2										
relsim_1335b66bf561a03ab31574d027d3c134	/data/lht/relsim_dataset/relsim_images/1335b66bf561a03ab31574d027d3c134.jpg	other	pan	contains	food	A pan is contains a food.	holding	A pan is holding a food.	A pan is stands in a food.	0										
relsim_9aee424553c52f325c174520efb1b8b4	/data/lht/relsim_dataset/relsim_images/9aee424553c52f325c174520efb1b8b4.jpg	other	frame	encloses	forest	A frame is encloses a forest.	attached to	A frame is attached to a forest.	A frame is climbing on a forest.	2										
relsim_ab34039332cc1902977ba784c04398ae	/data/lht/relsim_dataset/relsim_images/ab34039332cc1902977ba784c04398ae.jpg	other	cup	contains	spoon	A cup is contains a spoon.	covering	A cup is covering a spoon.	A cup is striking a spoon.	1										
relsim_dc705663cd93792e16e7f12a8b6436d1	/data/lht/relsim_dataset/relsim_images/dc705663cd93792e16e7f12a8b6436d1.jpg	other	building	reflects	street	A building is reflects a street.	obscures	A building is obscures a street.	A building is eating a street.	2										
