id	image_path	subject	relation	object	positive_statement	negative_relation	negative_statement	relation_freq_in_master	subject_ok	object_ok	positive_true	negative_false	only_relation_differs	statement_natural
relsim_1d6ba33e3dea927152bbe5cbae7afc26	/data/lht/relsim_dataset/relsim_images/1d6ba33e3dea927152bbe5cbae7afc26.jpg	tree	stands on	field	A tree is stands on a field.	performing trick	A tree is performing trick a field.	38						
relsim_72b5e4f40cfc217a3074992f84158d20	/data/lht/relsim_dataset/relsim_images/72b5e4f40cfc217a3074992f84158d20.jpg	mouse	beside	microphone	A mouse is beside a microphone.	reflecting in	A mouse is reflecting in a microphone.	41						
relsim_499ee5c90efd6dd5a19ec9e306cd7d0d	/data/lht/relsim_dataset/relsim_images/499ee5c90efd6dd5a19ec9e306cd7d0d.jpg	tree	in front of	building	A tree is in front of a building.	running towards	A tree is running towards a building.	25						
relsim_0e832390be29ada233883dc95826c51d	/data/lht/relsim_dataset/relsim_images/0e832390be29ada233883dc95826c51d.jpg	mouse	beside	house	A mouse is beside a house.	jumping into	A mouse is jumping into a house.	41						
relsim_a53d0db582542e2bad0ad69fe53429f3	/data/lht/relsim_dataset/relsim_images/a53d0db582542e2bad0ad69fe53429f3.jpg	ear	attached to	neck	An ear is attached to a neck.	tying	An ear is tying a neck.	69						
relsim_2bbe041ad59171663902ed9c058eef98	/data/lht/relsim_dataset/relsim_images/2bbe041ad59171663902ed9c058eef98.jpg	Earth	over	Moon	An Earth is over a Moon.	blocking	An Earth is blocking a Moon.	20						
relsim_906481d1df333f3ca4a4b815a1305ed4	/data/lht/relsim_dataset/relsim_images/906481d1df333f3ca4a4b815a1305ed4.jpg	tree	supports	birds	A tree is supports a birds.	standing behind	A tree is standing behind a birds.	72						
relsim_7cce352354595b1de8d2872923ef9127	/data/lht/relsim_dataset/relsim_images/7cce352354595b1de8d2872923ef9127.jpg	face mask	covering	face	A face mask is covering a face.	flows into	A face mask is flows into a face.	31						
relsim_a23168d6e70606c9383d998c8b618c7a	/data/lht/relsim_dataset/relsim_images/a23168d6e70606c9383d998c8b618c7a.jpg	bear	riding	bicycle	A bear is riding a bicycle.	sitting at	A bear is sitting at a bicycle.	53						
relsim_b85320e40dfa38a1d12127b6c387d823	/data/lht/relsim_dataset/relsim_images/b85320e40dfa38a1d12127b6c387d823.jpg	lion statue	stands on	grass	A lion statue is stands on a grass.	made of	A lion statue is made of a grass.	38						
relsim_b713922a065533b9f38f93d4154ecf79	/data/lht/relsim_dataset/relsim_images/b713922a065533b9f38f93d4154ecf79.jpg	woman	jumping over	pond	A woman is jumping over a pond.	steps on	A woman is steps on a pond.	43						
relsim_947e22d86e2dcddb59bc90b464fa319c	/data/lht/relsim_dataset/relsim_images/947e22d86e2dcddb59bc90b464fa319c.jpg	headphones	surrounding	sound waves	A headphones is surrounding a sound waves.	jumping on	A headphones is jumping on a sound waves.	25						
relsim_d679e95925c34dca18f95a2a132d7b33	/data/lht/relsim_dataset/relsim_images/d679e95925c34dca18f95a2a132d7b33.jpg	statue	stands on	ground	A statue is stands on a ground.	carry	A statue is carry a ground.	38						
relsim_1781f881ecb49f3770216ec76d57e9a7	/data/lht/relsim_dataset/relsim_images/1781f881ecb49f3770216ec76d57e9a7.jpg	figure	standing next to	block	A figure is standing next to a block.	mixed into	A figure is mixed into a block.	34						
relsim_7796406410bf7615a93bfa8759521f17	/data/lht/relsim_dataset/relsim_images/7796406410bf7615a93bfa8759521f17.jpg	person	touching	dolphin	A person is touching a dolphin.	holding hands with	A person is holding hands with a dolphin.	69						
relsim_80e8e07084a1c828155a7d9acc5a812c	/data/lht/relsim_dataset/relsim_images/80e8e07084a1c828155a7d9acc5a812c.jpg	hands	tying	hair	A hands is tying a hair.	crouching near	A hands is crouching near a hair.	8						
relsim_d5d9ea92d3b19a037c25b1debbe46003	/data/lht/relsim_dataset/relsim_images/d5d9ea92d3b19a037c25b1debbe46003.jpg	factory	emits	smoke	A factory is emits a smoke.	embracing	A factory is embracing a smoke.	5						
relsim_abed4d78852709f6b4b115bd46ca784d	/data/lht/relsim_dataset/relsim_images/abed4d78852709f6b4b115bd46ca784d.jpg	cat	playing with	cup	A cat is playing with a cup.	saluting	A cat is saluting a cup.	11						
relsim_74fce8fddade3408dce4e906b6f86cdb	/data/lht/relsim_dataset/relsim_images/74fce8fddade3408dce4e906b6f86cdb.jpg	trachea	divides into	left main bronchus	A trachea is divides into a left main bronchus.	stands on	A trachea is stands on a left main bronchus.	1						
relsim_72fca395671d9c8f4649745cd9a8c50e	/data/lht/relsim_dataset/relsim_images/72fca395671d9c8f4649745cd9a8c50e.jpg	basketball	held by	person	A basketball is held by a person.	extend into	A basketball is extend into a person.	18						
relsim_356554b047de718a811bb8a761831c31	/data/lht/relsim_dataset/relsim_images/356554b047de718a811bb8a761831c31.jpg	hammer	hanging above	nails	A hammer is hanging above a nails.	sitting in	A hammer is sitting in a nails.	1						
relsim_6671d95f64af74597671cf321e13a37b	/data/lht/relsim_dataset/relsim_images/6671d95f64af74597671cf321e13a37b.jpg	skier	following	path	A skier is following a path.	falling into	A skier is falling into a path.	2						
relsim_b282964e5406310ce05aa2c387d91fae	/data/lht/relsim_dataset/relsim_images/b282964e5406310ce05aa2c387d91fae.jpg	person	performing handstand on	platform	A person is performing handstand on a platform.	reaching into	A person is reaching into a platform.	3						
relsim_88da567221f2a8eefea1ab2ba0b63b14	/data/lht/relsim_dataset/relsim_images/88da567221f2a8eefea1ab2ba0b63b14.jpg	red figure	lifting	barbell	A red figure is lifting a barbell.	sliding down	A red figure is sliding down a barbell.	3						
relsim_a4076d551e441ae98d6962199ffc46ac	/data/lht/relsim_dataset/relsim_images/a4076d551e441ae98d6962199ffc46ac.jpg	person	juggling	balls	A person is juggling a balls.	blowing	A person is blowing a balls.	1						
relsim_c4959211be1c27bd67b9eecd9dc12461	/data/lht/relsim_dataset/relsim_images/c4959211be1c27bd67b9eecd9dc12461.jpg	owl	sitting beside	dog	An owl is sitting beside a dog.	leaves a trail behind	An owl is leaves a trail behind a dog.	13						
relsim_c305cb94a81b7ecc5f096a8edf3a94df	/data/lht/relsim_dataset/relsim_images/c305cb94a81b7ecc5f096a8edf3a94df.jpg	man	casting a shadow on	wall	A man is casting a shadow on a wall.	grows from	A man is grows from a wall.	7						
relsim_ccc6b9776786756d01f602ce5370eee6	/data/lht/relsim_dataset/relsim_images/ccc6b9776786756d01f602ce5370eee6.jpg	cat's tail	casts shadow on	wall	A cat's tail is casts shadow on a wall.	stands under	A cat's tail is stands under a wall.	1						
relsim_75e3e0509dbf17ccb02ce723eec9a155	/data/lht/relsim_dataset/relsim_images/75e3e0509dbf17ccb02ce723eec9a155.jpg	tree	reflects in	water	A tree is reflects in a water.	stacked on	A tree is stacked on a water.	2						
relsim_96be0937260c8143c5039f91687a4ee4	/data/lht/relsim_dataset/relsim_images/96be0937260c8143c5039f91687a4ee4.jpg	pipe	frames	beach	A pipe is frames a beach.	resting on	A pipe is resting on a beach.	17						
relsim_16d0a201fdb7b429db875ae70f89cebf	/data/lht/relsim_dataset/relsim_images/16d0a201fdb7b429db875ae70f89cebf.jpg	man	sitting at	counter	A man is sitting at a counter.	flying towards	A man is flying towards a counter.	3						
relsim_b30988bcd3316860db6a244a0e654ad8	/data/lht/relsim_dataset/relsim_images/b30988bcd3316860db6a244a0e654ad8.jpg	man	exhaling	smoke	A man is exhaling a smoke.	illuminates	A man is illuminates a smoke.	3						
relsim_be3b2f048d0ab45960f4a77be8997b48	/data/lht/relsim_dataset/relsim_images/be3b2f048d0ab45960f4a77be8997b48.jpg	man	standing under	light	A man is standing under a light.	contain	A man is contain a light.	2						
relsim_392a6273c2e9c558e05afc2062199611	/data/lht/relsim_dataset/relsim_images/392a6273c2e9c558e05afc2062199611.jpg	raspberries	in	ice cube	A raspberries is in an ice cube.	stands on	A raspberries is stands on an ice cube.	9						
relsim_0b47da73d890935c0e65cc64b4ce8113	/data/lht/relsim_dataset/relsim_images/0b47da73d890935c0e65cc64b4ce8113.jpg	person	reaching toward	basket	A person is reaching toward a basket.	cast by	A person is cast by a basket.	7						
relsim_ad91ea49b95b2f19c4c49b4395b727dd	/data/lht/relsim_dataset/relsim_images/ad91ea49b95b2f19c4c49b4395b727dd.jpg	heart	reaching toward	cloud	A heart is reaching toward a cloud.	forming a heart shape around	A heart is forming a heart shape around a cloud.	7						
relsim_0cc06351be2f10a3457c10b1a7444edb	/data/lht/relsim_dataset/relsim_images/0cc06351be2f10a3457c10b1a7444edb.jpg	pedestrian	crossing	crosswalk	A pedestrian is crossing a crosswalk.	leaves trail behind	A pedestrian is leaves trail behind a crosswalk.	18						
relsim_2236a39a3812a6e6b566a0103425da2d	/data/lht/relsim_dataset/relsim_images/2236a39a3812a6e6b566a0103425da2d.jpg	diver	reaching for	ring	A diver is reaching for a ring.	walking towards	A diver is walking towards a ring.	17						
relsim_da9e847a789a7e6aaa931b653620813f	/data/lht/relsim_dataset/relsim_images/da9e847a789a7e6aaa931b653620813f.jpg	woman	sitting beside	man	A woman is sitting beside a man.	jumping to hit	A woman is jumping to hit a man.	13						
relsim_b6c18ee259db7e38b33325ff66fc6ab1	/data/lht/relsim_dataset/relsim_images/b6c18ee259db7e38b33325ff66fc6ab1.jpg	jacket	decorated with	sticky notes	A jacket is decorated with a sticky notes.	driving towards	A jacket is driving towards a sticky notes.	9						
relsim_d4671e506764a6533f0a40aa88c538ef	/data/lht/relsim_dataset/relsim_images/d4671e506764a6533f0a40aa88c538ef.jpg	jet	flying beside	space shuttle	A jet is flying beside a space shuttle.	biting	A jet is biting a space shuttle.	1						
relsim_9d393d6fb5166a409533aa2fb74ce69f	/data/lht/relsim_dataset/relsim_images/9d393d6fb5166a409533aa2fb74ce69f.jpg	arrow	points to	circle	An arrow is points to a circle.	performing trick	An arrow is performing trick a circle.	10						
relsim_a0edd97ccb44730903a9df3a99d9b7af	/data/lht/relsim_dataset/relsim_images/a0edd97ccb44730903a9df3a99d9b7af.jpg	paper clips	crossing	map	A paper clips is crossing a map.	pushing	A paper clips is pushing a map.	18						
relsim_3d21a5bd46b6c187a4a06863c4845b92	/data/lht/relsim_dataset/relsim_images/3d21a5bd46b6c187a4a06863c4845b92.jpg	photographer	taking photo of	couple	A photographer is taking photo of a couple.	over	A photographer is over a couple.	8						
relsim_45328b5df29c23adc88fb4de5322bb68	/data/lht/relsim_dataset/relsim_images/45328b5df29c23adc88fb4de5322bb68.jpg	stars	forming a circle	sky	A stars is forming a circle a sky.	pulling	A stars is pulling a sky.	3						
relsim_8e58794929c6f3e409bd494db9a5b015	/data/lht/relsim_dataset/relsim_images/8e58794929c6f3e409bd494db9a5b015.jpg	man on left	pulling	man on right	A man on left is pulling a man on right.	climbing	A man on left is climbing a man on right.	16						
relsim_d2ab8d6dcebd8ddec71c867adb12a5fc	/data/lht/relsim_dataset/relsim_images/d2ab8d6dcebd8ddec71c867adb12a5fc.jpg	tree	grows on	pile of coins	A tree is grows on a pile of coins.	walking beside	A tree is walking beside a pile of coins.	2						
relsim_6fbd4b20b9d836826e4f852445d4486a	/data/lht/relsim_dataset/relsim_images/6fbd4b20b9d836826e4f852445d4486a.jpg	stone wall	frames	mountain	A stone wall is frames a mountain.	placed in	A stone wall is placed in a mountain.	17						
relsim_0f0f22ea1a54b3b5fed98f0fe635e9ff	/data/lht/relsim_dataset/relsim_images/0f0f22ea1a54b3b5fed98f0fe635e9ff.jpg	person	standing inside	mouth	A person is standing inside a mouth.	swinging	A person is swinging a mouth.	1						
relsim_80ba841415f2701cd64880a2b3519fbe	/data/lht/relsim_dataset/relsim_images/80ba841415f2701cd64880a2b3519fbe.jpg	building	stands above	city	A building is stands above a city.	attacking	A building is attacking a city.	1						
relsim_cb7aeadf31fe1acb27e45b2b2a91b509	/data/lht/relsim_dataset/relsim_images/cb7aeadf31fe1acb27e45b2b2a91b509.jpg	stamp	depicts	monkey face	A stamp is depicts a monkey face.	moving on	A stamp is moving on a monkey face.	2						
relsim_1b8906cf348aeceeec0de39cb3c3169e	/data/lht/relsim_dataset/relsim_images/1b8906cf348aeceeec0de39cb3c3169e.jpg	necklace	hangs from	chain	A necklace is hangs from a chain.	performing kick	A necklace is performing kick a chain.	2						
relsim_8668dc2cc9b864419a480e43563bd295	/data/lht/relsim_dataset/relsim_images/8668dc2cc9b864419a480e43563bd295.jpg	man	playing	saxophone	A man is playing a saxophone.	pouring into	A man is pouring into a saxophone.	11						
relsim_de0c8e702f514535ce48ab5bfc523604	/data/lht/relsim_dataset/relsim_images/de0c8e702f514535ce48ab5bfc523604.jpg	bird	reflects	water	A bird is reflects a water.	saluting	A bird is saluting a water.	15						
relsim_a93a2b438848d9d496fed37759565b91	/data/lht/relsim_dataset/relsim_images/a93a2b438848d9d496fed37759565b91.jpg	shadow	casts on	rock	A shadow is casts on a rock.	parked in front of	A shadow is parked in front of a rock.	3						
relsim_c045d7ef90ff08e56b67950e37fc5dfa	/data/lht/relsim_dataset/relsim_images/c045d7ef90ff08e56b67950e37fc5dfa.jpg	star	on top of	tree	A star is on top of a tree.	frames	A star is frames a tree.	6						
relsim_776841e7806cd715aea86ebc4f54777b	/data/lht/relsim_dataset/relsim_images/776841e7806cd715aea86ebc4f54777b.jpg	black dog	sitting next to	yellow dog	A black dog is sitting next to a yellow dog.	peeking through	A black dog is peeking through a yellow dog.	8						
relsim_29540098066d1cdd5e80b56dc2bcc65c	/data/lht/relsim_dataset/relsim_images/29540098066d1cdd5e80b56dc2bcc65c.jpg	truck	parked in front of	building	A truck is parked in front of a building.	growing in	A truck is growing in a building.	1						
relsim_9b532c71113626395033c015e1d059c0	/data/lht/relsim_dataset/relsim_images/9b532c71113626395033c015e1d059c0.jpg	rope	forms	heart shape	A rope is forms a heart shape.	surfing on	A rope is surfing on a heart shape.	11						
relsim_492c28870057be2dbf56bf6096d75931	/data/lht/relsim_dataset/relsim_images/492c28870057be2dbf56bf6096d75931.jpg	building	surrounds	park	A building is surrounds a park.	attacking	A building is attacking a park.	15						
relsim_244a1bb03c39828f47c4b4caad0913c9	/data/lht/relsim_dataset/relsim_images/244a1bb03c39828f47c4b4caad0913c9.jpg	person in red coat	sitting next to	person in black coat	A person in red coat is sitting next to a person in black coat.	punching	A person in red coat is punching a person in black coat.	8						
relsim_087a20cc2bd961cd71fd30867e25aa20	/data/lht/relsim_dataset/relsim_images/087a20cc2bd961cd71fd30867e25aa20.jpg	cat	reaching for	toy	A cat is reaching for a toy.	crossing	A cat is crossing a toy.	17						
relsim_333a45545191ea6c12b984a4f7c559f1	/data/lht/relsim_dataset/relsim_images/333a45545191ea6c12b984a4f7c559f1.jpg	shadow	casts on	path	A shadow is casts on a path.	eating	A shadow is eating a path.	3						
relsim_ce043afafa42de0a98ea7b78acbf4a28	/data/lht/relsim_dataset/relsim_images/ce043afafa42de0a98ea7b78acbf4a28.jpg	cloud	shaped like	heart	A cloud is shaped like a heart.	exercising on	A cloud is exercising on a heart.	2						
relsim_5b7e078856c1d7d3509f2d776be57622	/data/lht/relsim_dataset/relsim_images/5b7e078856c1d7d3509f2d776be57622.jpg	balloons	held by	person	A balloons is held by a person.	flying above	A balloons is flying above a person.	18						
relsim_7a4a2035a97be0bf24113c9bac1d41de	/data/lht/relsim_dataset/relsim_images/7a4a2035a97be0bf24113c9bac1d41de.jpg	hand	supporting	bird	A hand is supporting a bird.	staring at	A hand is staring at a bird.	17						
relsim_27030321b4c3aea7db182a4b2d114f17	/data/lht/relsim_dataset/relsim_images/27030321b4c3aea7db182a4b2d114f17.jpg	cube	floating above	field	A cube is floating above a field.	balancing on	A cube is balancing on a field.	4						
relsim_19f6c71564d9ab32745a29318116cf1b	/data/lht/relsim_dataset/relsim_images/19f6c71564d9ab32745a29318116cf1b.jpg	stairs	leading to	ceiling	A stairs is leading to a ceiling.	lying in	A stairs is lying in a ceiling.	10						
relsim_6f4879b343eab9520e0bdd7f1c514a93	/data/lht/relsim_dataset/relsim_images/6f4879b343eab9520e0bdd7f1c514a93.jpg	cars	parked on	street	A cars is parked on a street.	climbing	A cars is climbing a street.	14						
relsim_3dfe2e03556a503481bd018f98db499f	/data/lht/relsim_dataset/relsim_images/3dfe2e03556a503481bd018f98db499f.jpg	airplane	leaves trail	sky	An airplane is leaves trail a sky.	reflects in	An airplane is reflects in a sky.	1						
relsim_55c61299127b2601ccb1562190062c22	/data/lht/relsim_dataset/relsim_images/55c61299127b2601ccb1562190062c22.jpg	Jesus	gesturing to	woman	A Jesus is gesturing to a woman.	hangs from	A Jesus is hangs from a woman.	2						
relsim_8eeac59e5f0e0829c0c23106588148f2	/data/lht/relsim_dataset/relsim_images/8eeac59e5f0e0829c0c23106588148f2.jpg	bear	in	pool	A bear is in a pool.	stacked on	A bear is stacked on a pool.	9						
relsim_8e2a261985c65263db1e73c925154519	/data/lht/relsim_dataset/relsim_images/8e2a261985c65263db1e73c925154519.jpg	cubs	chasing	mother	A cubs is chasing a mother.	missing from	A cubs is missing from a mother.	8						
relsim_a55dec488d1f10a59b2fcd5aba59888d	/data/lht/relsim_dataset/relsim_images/a55dec488d1f10a59b2fcd5aba59888d.jpg	fish	swimming near	umbrella	A fish is swimming near an umbrella.	dropping	A fish is dropping an umbrella.	7						
relsim_1a9e10f78357f50324c22d5af623957f	/data/lht/relsim_dataset/relsim_images/1a9e10f78357f50324c22d5af623957f.jpg	black dog	hugging	tan dog	A black dog is hugging a tan dog.	stands in	A black dog is stands in a tan dog.	4						
relsim_9a1e9d3b0d755f9b723a78e8359334cf	/data/lht/relsim_dataset/relsim_images/9a1e9d3b0d755f9b723a78e8359334cf.jpg	tree	reflects	water	A tree is reflects a water.	leaves trail behind	A tree is leaves trail behind a water.	15						
relsim_29b6822133238790ba15af46708195ba	/data/lht/relsim_dataset/relsim_images/29b6822133238790ba15af46708195ba.jpg	chair	rests on	base	A chair is rests on a base.	covers	A chair is covers a base.	9						
relsim_d093b65eadd28740ac81858d2228e787	/data/lht/relsim_dataset/relsim_images/d093b65eadd28740ac81858d2228e787.jpg	bird	feeding	chick	A bird is feeding a chick.	parked beside	A bird is parked beside a chick.	3						
relsim_962b46635eda2ec97bc6bee2ff92571c	/data/lht/relsim_dataset/relsim_images/962b46635eda2ec97bc6bee2ff92571c.jpg	face	wears	jewelry	A face is wears a jewelry.	sniffing	A face is sniffing a jewelry.	2						
relsim_b88e33fedc13217a0d04b5e9147260fe	/data/lht/relsim_dataset/relsim_images/b88e33fedc13217a0d04b5e9147260fe.jpg	bicycle handlebars	casting a shadow of	person	A bicycle handlebars is casting a shadow of a person.	blowing	A bicycle handlebars is blowing a person.	2						
relsim_08ea342e63a284726719b8a3d78196d6	/data/lht/relsim_dataset/relsim_images/08ea342e63a284726719b8a3d78196d6.jpg	person	standing in	window	A person is standing in a window.	sitting around	A person is sitting around a window.	9						
relsim_92849afad8d6dcaa27bfafebf3a14730	/data/lht/relsim_dataset/relsim_images/92849afad8d6dcaa27bfafebf3a14730.jpg	rabbit	sitting on	ground	A rabbit is sitting on a ground.	performing trick on	A rabbit is performing trick on a ground.	150						
relsim_1518dff19f0dc1a7af2f04b9332e241e	/data/lht/relsim_dataset/relsim_images/1518dff19f0dc1a7af2f04b9332e241e.jpg	seashells	surrounding	stones	A seashells is surrounding a stones.	jumping to hit	A seashells is jumping to hit a stones.	25						
